 ; ;Precison;Recall;F-Score;;;
Execution Number;Accuracy ;Classe0/1/2;Classe0/1/2;Classe0/1/2;Classe0/1/2;Silhouette Coefficient;Time (seconds)
1;0.28313253012048195;[ 0.35294118  0.30861244  0.0952381 ];[ 0.03614458  0.77710843  0.03614458];[ 0.06557377  0.44178082  0.05240175];[   0.2522639     0.28313253    0.18658545  166.        ];-0.20695530228638995;12.388.999.938.964.800
2;0.29518072289156627;[ 0.33870968  0.29133858  0.27272727];[ 0.12650602  0.6686747   0.09036145];[ 0.18421053  0.40585009  0.13574661];[   0.30092518    0.29518072    0.24193574  166.        ];-0.12048571342736537;4.585.000.038.146.970
3;0.2971887550200803;[ 0.32545932  0.33928571  0.08196721];[ 0.74698795  0.11445783  0.03012048];[ 0.45338208  0.17117117  0.04405286];[   0.24890408    0.29718876    0.22286871  166.        ];-0.11722917142216593;5.641.999.959.945.670
4;0.27710843373493976;[ 0.38596491  0.29133858  0.08333333];[ 0.13253012  0.6686747   0.03012048];[ 0.19730942  0.40585009  0.04424779];[   0.25354561    0.27710843    0.21580243  166.        ];-0.11873753402628505;6.363.000.154.495.230
5;0.38554216867469882;[ 0.33870968  0.6         0.37121212];[ 0.12650602  0.14457831  0.88554217];[ 0.18421053  0.23300971  0.52313167];[   0.4366406     0.38554217    0.31345064  166.        ];-0.23662057971493869;7.385.999.917.984.000
6;0.27510040160642568;[ 0.07317073  0.29824561  0.25862069];[ 0.01807229  0.71686747  0.09036145];[ 0.02898551  0.42123894  0.13392857];[   0.21001235    0.2751004     0.19471767  166.        ];-0.20994232468597895;8.171.000.003.814.690
7;0.30120481927710846;[ 0.32545932  0.36206897  0.08474576];[ 0.74698795  0.12650602  0.03012048];[ 0.45338208  0.1875      0.04444444];[   0.25742468    0.30120482    0.22844218  166.        ];-0.12004102643504029;929.200.005.531.311
8;0.37349397590361444;[ 0.33870968  0.34545455  0.3832021 ];[ 0.12650602  0.11445783  0.87951807];[ 0.18421053  0.1719457   0.53382084];[   0.35578877    0.37349398    0.29665902  166.        ];-0.12048571342736537;10.111.999.988.555.900
9;0.34738955823293172;[ 0.32545932  0.57627119  0.25862069];[ 0.74698795  0.20481928  0.09036145];[ 0.45338208  0.30222222  0.13392857];[   0.38678373    0.34738956    0.29651096  166.        ];-0.12004102643504029;12.368.000.030.517.500
10;0.31927710843373491;[ 0.16666667  0.30434783  0.32196162];[ 0.0060241   0.04216867  0.90963855];[ 0.01162791  0.07407407  0.47559055];[   0.26432537    0.31927711    0.18709751  166.        ];-0.14926837560175227;12.832.000.017.166.100
11;0.3393574297188755;[ 0.33014354  0.36206897  0.45454545];[ 0.8313253   0.12650602  0.06024096];[ 0.47260274  0.1875      0.10638298];[   0.38225265    0.33935743    0.25549524  166.        ];-0.10423625363755072;13.402.999.877.929.600
12;0.30120481927710846;[ 0.32545932  0.36206897  0.08474576];[ 0.74698795  0.12650602  0.03012048];[ 0.45338208  0.1875      0.04444444];[   0.25742468    0.30120482    0.22844218  166.        ];-0.12004102643504029;13.669.000.148.773.100
13;0.31927710843373491;[ 0.23809524  0.33174224  0.25862069];[ 0.03012048  0.8373494   0.09036145];[ 0.05347594  0.47521368  0.13392857];[   0.27615272    0.31927711    0.22087273  166.        ];-0.1206942588426536;14.941.999.912.261.900
14;0.30120481927710846;[ 0.32545932  0.36206897  0.08474576];[ 0.74698795  0.12650602  0.03012048];[ 0.45338208  0.1875      0.04444444];[   0.25742468    0.30120482    0.22844218  166.        ];-0.12004102643504029;15.430.999.994.277.900
15;0.31927710843373491;[ 0.31486146  0.36206897  0.30232558];[ 0.75301205  0.12650602  0.07831325];[ 0.44404973  0.1875      0.12440191];[   0.32641867    0.31927711    0.25198388  166.        ];-0.02922431270284458;16.187.000.036.239.600
16;0.29317269076305219;[ 0.33333333  0.29133858  0.26315789];[ 0.12048193  0.6686747   0.09036145];[ 0.17699115  0.40585009  0.13452915];[   0.29594327    0.29317269    0.23912346  166.        ];-0.11873753402628505;17.645.999.908.447.200
17;0.28915662650602408;[ 0.3241206   0.24390244  0.08474576];[ 0.77710843  0.06024096  0.03012048];[ 0.45744681  0.09661836  0.04444444];[   0.2175896     0.28915663    0.1995032   166.        ];-0.11699854503374024;17.506.999.969.482.400
18;0.35542168674698793;[ 0.33333333  0.28571429  0.36231884];[ 0.12650602  0.03614458  0.90361446];[ 0.18340611  0.06417112  0.51724138];[   0.32712215    0.35542169    0.25493954  166.        ];-0.20892975939781916;1.869.700.002.670.280
19;0.33734939759036142;[ 0.44186047  0.33753149  0.25862069];[ 0.11445783  0.80722892  0.09036145];[ 0.18181818  0.47602131  0.13392857];[   0.34600421    0.3373494     0.26392269  166.        ];-0.02922431270284458;20.130.000.114.440.900
20;0.40763052208835343;[ 0.38181818  0.58064516  0.3832021 ];[ 0.12650602  0.21686747  0.87951807];[ 0.19004525  0.31578947  0.53382084];[   0.44855515    0.40763052    0.34655185  166.        ];-0.12048571342736537;1.937.399.983.406.060
21;0.31927710843373491;[ 0.31486146  0.36206897  0.30232558];[ 0.75301205  0.12650602  0.07831325];[ 0.44404973  0.1875      0.12440191];[   0.32641867    0.31927711    0.25198388  166.        ];-0.02922431270284458;2.079.700.016.975.400
22;0.37148594377510041;[ 0.33566434  0.57142857  0.83333333];[ 0.86746988  0.21686747  0.03012048];[ 0.48403361  0.31441048  0.05813953];[   0.58014208    0.37148594    0.28552788  166.        ];-0.34749175724930814;22.955.999.851.226.800
23;0.27510040160642568;[ 0.38181818  0.29133858  0.08064516];[ 0.12650602  0.6686747   0.03012048];[ 0.19004525  0.40585009  0.04385965];[   0.25126731    0.2751004     0.21325166  166.        ];-0.12048571342736537;23.843.000.173.568.700
24;0.33734939759036142;[ 0.44186047  0.33753149  0.25862069];[ 0.11445783  0.80722892  0.09036145];[ 0.18181818  0.47602131  0.13392857];[   0.34600421    0.3373494     0.26392269  166.        ];-0.02922431270284458;2.421.999.979.019.160
25;0.35140562248995982;[ 0.32545932  0.59016393  0.26785714];[ 0.74698795  0.21686747  0.09036145];[ 0.45338208  0.31718062  0.13513514];[   0.39449346    0.35140562    0.30189928  166.        ];-0.11722917142216593;24.632.000.207.901
 ;Accuracy;Precison;Recall;F-Score;;;
Media Final:;0.32289156626506027;0.31999311236713829;0.32289156626506027;0.24759730575070069;;;
